A,Z,E(y),Sigma,Sigma Uncertainty,Half life (seconds),K0,K0 Uncertainty,Number of Isotope,Isotope Name
15.0,7.0,787.2,2.6e-15,4.78e-17,7.13,5.63e-16,1.03e-17,16.0,N 
15.0,7.0,867.7,8.49e-14,2.38e-15,7.13,1.84e-14,5.15e-16,16.0,N 
15.0,7.0,986.93,3e-12,7.02e-13,7.13,6.49e-13,1.52e-13,16.0,N 
15.0,7.0,1067.5,2.6e-14,4.78e-16,7.13,5.63e-15,1.03e-16,16.0,N 
15.0,7.0,1754.9,1.07e-10,9.21e-12,7.13,2.32e-11,1.99e-12,16.0,N 
15.0,7.0,1954.7,3.3e-11,5.04e-12,7.13,7.14e-12,1.09e-12,16.0,N 
15.0,7.0,2741.5,7.2e-10,5.17e-11,7.13,1.56e-10,1.12e-11,16.0,N 
15.0,7.0,2822.2,1.1e-10,4.01e-11,7.13,2.38e-11,8.68e-12,16.0,N 
15.0,7.0,6128.63,5.9e-08,1.19e-09,7.13,1.28e-08,2.57e-10,16.0,N 
15.0,7.0,6915.5,3.3e-11,5.04e-12,7.13,7.14e-12,1.09e-12,16.0,N 
15.0,7.0,7115.15,4.3e-09,4.08e-10,7.13,9.3e-10,8.83e-11,16.0,N 
15.0,7.0,8869.3,6.7e-11,9.08e-12,7.13,1.45e-11,1.96e-12,16.0,N 
18.0,8.0,109.894,8.3e-09,6.36e-10,26.9,1.57e-09,1.2e-10,19.0,O 
18.0,8.0,197.142,3.1e-07,2.24e-08,26.9,5.97e-08,4.24e-09,19.0,O 
18.0,8.0,1149.0,1.6e-12,1.08e-13,26.9,3.03e-13,2.05e-14,19.0,O 
18.0,8.0,1236.0,5.6e-11,7.96e-12,26.9,1.06e-11,1.51e-12,19.0,O 
18.0,8.0,1356.843,1.7e-07,1.19e-08,26.9,3.14e-08,2.25e-09,19.0,O 
18.0,8.0,1444.085,8.67e-09,6.19e-10,26.9,1.64e-09,1.17e-10,19.0,O 
18.0,8.0,1553.97,4.57e-09,3.25e-10,26.9,8.66e-10,6.16e-11,19.0,O 
18.0,8.0,2353.98,5.9e-12,8.94e-13,26.9,1.12e-12,1.69e-13,19.0,O 
18.0,8.0,2582.517,6.21e-11,4.49e-12,26.9,1.18e-11,8.5e-13,19.0,O 
18.0,8.0,3710.64,3.6e-12,5.56e-13,26.9,6.82e-13,1.05e-13,19.0,O 
18.0,8.0,3797.87,4.4e-12,5.82e-13,26.9,8.33e-13,1.1e-13,19.0,O 
18.0,8.0,3907.74,1.26e-11,1.04e-12,26.9,2.39e-12,1.97e-13,19.0,O 
18.0,8.0,4180.063,2.6e-10,1.86e-11,26.9,4.92e-11,3.52e-12,19.0,O 
19.0,9.0,1633.53,0.0096,0.0004,11.2,0.00153,6.38e-05,20.0,F 
19.0,9.0,3332.54,7.9e-07,6e-08,11.2,1.26e-07,9.57e-09,20.0,F 
19.0,9.0,4965.85,5e-09,2e-09,11.2,7.98e-10,3.19e-10,20.0,F 
22.0,10.0,439.986,0.0014,5.18e-06,37.2,0.00021,7.78e-07,23.0,Ne
